adult,budget,genres,original_language,popularity,revenue,runtime,vote_average,vote_count,release_strategy,director_popularity,lead_actor_popularity,avg_top5_cast_popularity,imdb_rating,imdb_votes,period,roi,collection_flag,production_companies_count_cat,origin_country_count_cat,production_countries_count_cat,spoken_languages_count_cat
0,28000000,"['Comedy', 'Drama']",en,1.039,7002261,107,5.9,514,theatrical,,,,,,Before COVID,-0.74991925,0,2,1,1,1
0,25000000,['Horror'],en,2.1118,83080890,102,5.01,2560,theatrical,0.3065,2.4974,2.70444,4.5,45288.0,Before COVID,2.3232356,1,2,1,1,1
0,90000000,"['Thriller', 'Action', 'Crime']",en,7.9524,426505244,124,7.127,8547,theatrical,1.548,6.9325,4.91894,6.5,193959.0,Before COVID,3.7389471555555556,1,2,1,1,2
0,144000000,"['Action', 'Fantasy', 'Comedy']",en,4.8469,229147509,117,5.3,6642,theatrical,2.337,3.909,3.8296,6.8,255910.0,Before COVID,0.5913021458333333,0,2,1,1,1
0,165000000,"['Action', 'Adventure', 'Science Fiction']",en,9.2105,389681935,120,5.35,6285,theatrical,2.3168,4.8761,4.11328,5.2,197356.0,Before COVID,1.361708696969697,1,2,1,1,1
0,85000000,"['Action', 'Adventure', 'Crime']",en,9.2597,346118277,107,6.135,9125,theatrical,0.7693,12.6211,6.890000000000001,5.2,100797.0,Before COVID,3.0719797294117646,1,2,1,2,1
0,13500000,"['Comedy', 'Crime', 'Mystery']",en,2.5307,31626386,100,5.9,490,theatrical,1.4001,1.4001,1.16614,6.0,29593.0,Before COVID,1.3426952592592594,1,2,1,1,2
0,6200000,['Horror'],en,5.0355,4017852,100,4.911,947,unknown,1.0157,1.9766,2.64546,3.9,26333.0,Before COVID,-0.35195935483870966,1,2,1,1,1
0,5000000,"['Horror', 'Mystery', 'Science Fiction']",en,1.6505,7556,91,4.936,616,streaming,,,,,,Before COVID,-0.9984888,0,2,1,1,2
0,28000000,"['Romance', 'Horror', 'Comedy', 'Thriller']",en,3.4118,16457494,108,6.165,2248,theatrical,1.6709,6.9244,3.24264,5.8,63571.0,Before COVID,-0.41223235714285716,0,2,2,2,1
0,46000000,"['Drama', 'History']",en,3.2682,23834809,161,7.1,3187,theatrical,4.0212,6.2407,5.55838,7.2,130901.0,Before COVID,-0.48185197826086956,0,2,1,2,2
0,160000000,"['Action', 'Adventure', 'Fantasy']",en,4.8023,433677183,123,6.391,7067,theatrical,1.4868,7.4429,3.64582,6.7,292039.0,Before COVID,1.71048239375,0,2,1,2,1
0,150000000,"['Action', 'Adventure', 'Science Fiction']",en,11.6388,378858340,121,7.627,23526,theatrical,,,,,,Before COVID,1.5257222666666668,1,2,2,2,1
